1,12,12,58.76,4
2,35,35,58.76,4
3,45,48,58.76,4
4,66,68,58.76,4
5,73,75,58.76,4
6,108,110,58.75,4
7,124,126,58.75,4
8,127,133,58.75,4
9,141,149,58.75,4
10,148,155,58.75,4
11,173,179,58.75,4
12,172,178,58.75,4
13,177,187,58.75,4
14,188,197,58.75,4
15,193,204,58.75,4
16,207,217,58.75,4
17,215,225,58.75,4
18,219,229,58.75,4
19,215,225,58.75,4
20,219,229,58.74,4
21,230,239,58.74,4
22,234,242,58.74,4
23,240,248,58.74,4
24,243,251,58.74,4
25,249,256,58.74,4
26,255,261,58.74,4
27,247,254,58.74,4
28,250,256,58.74,4
29,253,259,58.74,4
30,258,264,58.74,4
31,263,268,58.74,4
32,267,272,58.74,4
33,269,274,58.74,4
34,273,277,58.74,4
35,275,279,58.74,4
36,269,272,58.73,4
37,273,276,58.73,4
38,276,279,58.73,4
39,278,283,58.73,4
40,281,286,58.73,4
41,276,280,58.73,4
42,272,275,58.73,4
43,266,269,58.73,4
44,255,263,58.73,4
45,241,248,58.73,4
46,223,232,58.73,4
47,216,223,58.73,4
48,212,219,58.73,4
49,201,210,58.73,4
50,195,203,58.72,4
51,184,193,58.72,4
52,175,184,58.72,4
53,171,179,58.72,4
54,167,177,58.72,4
55,165,175,58.72,4
56,153,161,58.72,4
57,152,159,58.72,4
58,149,156,58.72,4
59,147,153,58.72,4
60,140,146,58.72,4
61,137,143,58.72,4
62,137,142,58.71,4
63,135,139,58.71,4
64,130,134,58.71,4
65,130,134,58.71,4
66,128,131,58.71,4
67,128,131,58.71,4
68,127,130,58.71,4
69,126,129,58.71,4
70,124,128,58.71,4
71,127,133,58.71,4
72,137,142,58.71,4
73,141,147,58.71,4
74,150,155,58.71,4
75,154,159,58.71,4
76,165,174,58.71,4
77,167,175,58.71,4
78,165,175,58.70,4
79,169,178,58.70,4
80,172,181,58.70,4
81,181,189,58.70,4
82,184,192,58.70,4
83,190,199,58.70,4
84,192,201,58.70,4
85,195,203,58.70,4
86,200,209,58.70,4
87,199,208,58.70,4
88,199,206,58.70,4
89,201,208,58.70,4
90,205,214,58.70,4
91,212,220,58.70,4
92,212,219,58.70,4
93,211,217,58.70,4
94,209,216,58.70,4
95,213,219,58.69,4
96,218,223,58.69,4
97,214,219,58.69,4
98,214,218,58.69,4
